year,county,adj_supply_any,adj_supply_ccc,adj_supply_hr,adj_supply_public,totcost_any,totcost_ccc,totcost_hr,totcost_public,quality_premium
2015,Goodhue,.52584106,.094655856,.03341129,.056505866,128.75435,174.32761,214.44577,10.20509,1.5380216
2015,Mower,.44448286,.082556754,.000040808827,.068692878,107.816,150.2943,228.79582,10.246872,1.8929263
2015,Washington,.49603677,.24467321,.11088319,.029234508,204.45477,269.53214,274.3764,10.897682,1.4051045
2015,Carlton,.62491339,.18027472,.1331718,.18894665,100.45779,139.59865,125.83649,12.765197,.97300249
2015,Olmsted,.78376806,.29952398,.21016058,.096290275,170.81868,239.25662,242.72234,7.9697561,1.5058805
2015,Wabasha,.71226209,.066968851,.038876478,.073292233,118.32243,187.31583,214.24825,14.167905,1.6288073
2015,Fillmore,.66205329,.17066571,8.7746054e-16,.10138016,103.88097,163.35133,200.48392,20.643169,1.7186167
2015,Winona,.78960478,.20456082,.08398369,.058565818,119.36018,181.21196,170.96408,12.199195,1.3634384
2015,Lake,.28338614,0,0,.051167395,101.11508,260.43234,177.92087,9.3225269,1.399586
2015,Houston,.7427575,.070462488,0,.107989,105.73045,177.83044,181.55516,13.105084,1.5234749
2015,Cook,1.0479441,.11663926,0,.14314832,113.71439,152.82483,377.41461,32.538261,3.0140698
2014,Marshall,.58924299,.046477731,0,.11403307,102.7845,165.11458,213.16525,35.226791,1.8063834
2014,Kittson,.57771683,0,0,.12476565,88.026901,233.66025,294.14801,16.299438,2.6405346
2014,Polk,.77834749,.15550621,.075311199,.13760413,99.978294,145.53317,122.2756,12.685218,1.0197728
2014,Traverse,1.1406966,0,0,.47137251,86.920517,220.54076,207.43077,11.112698,1.9095042
2014,Norman,.8731783,.32312846,.23958302,.10775862,109.80658,150.08145,109.53965,44.333645,.91567165
2014,Clay,.63097459,.17133528,.03128963,.042954784,127.3046,177.14571,152.31737,13.172125,1.1357354
2014,Wilkin,.74194008,.010490702,0,.080181025,101.42692,222.12791,276.72595,40.328144,2.4293509
2014,Big Stone,.59716755,1.1496626e-14,1.1496626e-14,.08471553,94.595291,133.25279,129.33662,15.086942,1.1924576
2014,Pennington,.76043433,.11668392,0,.041048463,109.83269,133.14067,163.4826,13.562369,1.4267941
