county,year,varname,value_b2
Blue Earth,2018,Weekly Price,120.4
Blue Earth,2018,TotCapacity,2974.22
Blue Earth,2018,AvgCapacity,20.65
Blue Earth,2018,CCCShare,.13
Blue Earth,2018,HRShare,.15
Blue Earth,2018,PublicShare,.1
Brown,2012,Weekly Price,96.31
Brown,2012,TotCapacity,1399.73
Brown,2012,AvgCapacity,12.28
Brown,2012,CCCShare,.04
Brown,2012,HRShare,0
Brown,2012,PublicShare,.02
Brown,2013,Weekly Price,101.65
Brown,2013,TotCapacity,1357.16
Brown,2013,AvgCapacity,11.8
Brown,2013,CCCShare,.03
Brown,2013,HRShare,.02
Brown,2013,PublicShare,.01
Brown,2014,Weekly Price,97.75
Brown,2014,TotCapacity,1417.76
Brown,2014,AvgCapacity,12.89
Brown,2014,CCCShare,.04
Brown,2014,HRShare,.09
Brown,2014,PublicShare,.06
Brown,2015,Weekly Price,96.39
Brown,2015,TotCapacity,1379.78
Brown,2015,AvgCapacity,13.4
Brown,2015,CCCShare,.04
Brown,2015,HRShare,.11
Brown,2015,PublicShare,.08
Brown,2016,Weekly Price,111.42
Brown,2016,TotCapacity,1388.26
Brown,2016,AvgCapacity,14.02
Brown,2016,CCCShare,.04
Brown,2016,HRShare,.17
Brown,2016,PublicShare,.08
Brown,2017,Weekly Price,98.51000000000001
Brown,2017,TotCapacity,1430.83
Brown,2017,AvgCapacity,14.45
Brown,2017,CCCShare,.04
Brown,2017,HRShare,.19
Brown,2017,PublicShare,.09
Brown,2018,Weekly Price,107.79
Brown,2018,TotCapacity,1299.25
Brown,2018,AvgCapacity,13.12
Brown,2018,CCCShare,.04
Brown,2018,HRShare,.14
Brown,2018,PublicShare,.07
Carlton,2012,Weekly Price,112.84
Carlton,2012,TotCapacity,956.33
Carlton,2012,AvgCapacity,14.27
Carlton,2012,CCCShare,.06
Carlton,2012,HRShare,0
Carlton,2012,PublicShare,.01
Carlton,2013,Weekly Price,116.43
Carlton,2013,TotCapacity,1121.19
Carlton,2013,AvgCapacity,14.75
Carlton,2013,CCCShare,.08
Carlton,2013,HRShare,.04
Carlton,2013,PublicShare,.01
Carlton,2014,Weekly Price,105.3
Carlton,2014,TotCapacity,1274.37
Carlton,2014,AvgCapacity,16.77
Carlton,2014,CCCShare,.09
Carlton,2014,HRShare,.18
Carlton,2014,PublicShare,.12
Carlton,2015,Weekly Price,105.06
Carlton,2015,TotCapacity,1215.97
Carlton,2015,AvgCapacity,17.13
Carlton,2015,CCCShare,.1
Carlton,2015,HRShare,.23
Carlton,2015,PublicShare,.11
Carlton,2016,Weekly Price,121.83
Carlton,2016,TotCapacity,1099.08
Carlton,2016,AvgCapacity,16.65
Carlton,2016,CCCShare,.11
Carlton,2016,HRShare,.3
Carlton,2016,PublicShare,.11
Carlton,2017,Weekly Price,106.05
Carlton,2017,TotCapacity,1197.8
Carlton,2017,AvgCapacity,17.11
Carlton,2017,CCCShare,.11
Carlton,2017,HRShare,.39
Carlton,2017,PublicShare,.17
Carlton,2018,Weekly Price,104.24
Carlton,2018,TotCapacity,1023.38
Carlton,2018,AvgCapacity,15.27
Carlton,2018,CCCShare,.07
Carlton,2018,HRShare,.34
Carlton,2018,PublicShare,.19
Carver,2012,Weekly Price,160.56
Carver,2012,TotCapacity,3503.37
Carver,2012,AvgCapacity,16.29
Carver,2012,CCCShare,.09
Carver,2012,HRShare,0
Carver,2012,PublicShare,0
Carver,2013,Weekly Price,166.58
Carver,2013,TotCapacity,3640.46
Carver,2013,AvgCapacity,17.09
Carver,2013,CCCShare,.1
Carver,2013,HRShare,.04
Carver,2013,PublicShare,0
Carver,2014,Weekly Price,158.49
Carver,2014,TotCapacity,3943.13
Carver,2014,AvgCapacity,19.72
Carver,2014,CCCShare,.12
Carver,2014,HRShare,.08
Carver,2014,PublicShare,.05
Carver,2015,Weekly Price,163.19
Carver,2015,TotCapacity,3941.34
Carver,2015,AvgCapacity,19.81
Carver,2015,CCCShare,.14
Carver,2015,HRShare,.09
Carver,2015,PublicShare,.04
Carver,2016,Weekly Price,174.03
Carver,2016,TotCapacity,3871.05
Carver,2016,AvgCapacity,22.38
Carver,2016,CCCShare,.17
Carver,2016,HRShare,.12
Carver,2016,PublicShare,.05
Carver,2017,Weekly Price,170.88
Carver,2017,TotCapacity,4331.9
Carver,2017,AvgCapacity,25.94
Carver,2017,CCCShare,.19
Carver,2017,HRShare,.14
Carver,2017,PublicShare,.05
Carver,2018,Weekly Price,179.19
Carver,2018,TotCapacity,4116.04
Carver,2018,AvgCapacity,25.73
Carver,2018,CCCShare,.16
Carver,2018,HRShare,.13
Carver,2018,PublicShare,.06
Cass,2012,Weekly Price,92.98
Cass,2012,TotCapacity,1158.67
Cass,2012,AvgCapacity,21.86
Cass,2012,CCCShare,.04
Cass,2012,HRShare,0
Cass,2012,PublicShare,.15
Cass,2013,Weekly Price,98.19
Cass,2013,TotCapacity,1197.7
Cass,2013,AvgCapacity,20.3
Cass,2013,CCCShare,.03
Cass,2013,HRShare,.15
Cass,2013,PublicShare,.14
Cass,2014,Weekly Price,97.15000000000001
Cass,2014,TotCapacity,1263.39
Cass,2014,AvgCapacity,17.55
Cass,2014,CCCShare,.03
Cass,2014,HRShare,.19
Cass,2014,PublicShare,.17
Cass,2015,Weekly Price,95.36
Cass,2015,TotCapacity,841.12
Cass,2015,AvgCapacity,12.02
Cass,2015,CCCShare,.03
Cass,2015,HRShare,.23
Cass,2015,PublicShare,.17
Cass,2016,Weekly Price,96.25
Cass,2016,TotCapacity,762.8
Cass,2016,AvgCapacity,12.71
Cass,2016,CCCShare,.02
Cass,2016,HRShare,.38
Cass,2016,PublicShare,.22
Cass,2017,Weekly Price,91.77
Cass,2017,TotCapacity,789.22
Cass,2017,AvgCapacity,13.15
Cass,2017,CCCShare,.03
Cass,2017,HRShare,.42
Cass,2017,PublicShare,.23
Cass,2018,Weekly Price,103.85
Cass,2018,TotCapacity,696.89
Cass,2018,AvgCapacity,13.15
Cass,2018,CCCShare,.06
Cass,2018,HRShare,.4
Cass,2018,PublicShare,.19
Chippewa,2012,Weekly Price,88.99
Chippewa,2012,TotCapacity,464.01
Chippewa,2012,AvgCapacity,12.21
Chippewa,2012,CCCShare,.03
Chippewa,2012,HRShare,0
Chippewa,2012,PublicShare,.05
Chippewa,2013,Weekly Price,91.44
Chippewa,2013,TotCapacity,450.78
Chippewa,2013,AvgCapacity,12.18
Chippewa,2013,CCCShare,.03
Chippewa,2013,HRShare,.05
Chippewa,2013,PublicShare,.05
Chippewa,2014,Weekly Price,91.23
Chippewa,2014,TotCapacity,520.71
Chippewa,2014,AvgCapacity,12.4
Chippewa,2014,CCCShare,.02
Chippewa,2014,HRShare,.14
Chippewa,2014,PublicShare,.07
Chippewa,2015,Weekly Price,96.49
Chippewa,2015,TotCapacity,456.81
Chippewa,2015,AvgCapacity,11.71
Chippewa,2015,CCCShare,.03
Chippewa,2015,HRShare,.13
Chippewa,2015,PublicShare,.03
Chippewa,2016,Weekly Price,106.57
Chippewa,2016,TotCapacity,455.73
Chippewa,2016,AvgCapacity,11.99
Chippewa,2016,CCCShare,.03
Chippewa,2016,HRShare,.13
Chippewa,2016,PublicShare,.08
Chippewa,2017,Weekly Price,94.68000000000001
Chippewa,2017,TotCapacity,466.91
Chippewa,2017,AvgCapacity,13.73
Chippewa,2017,CCCShare,.06
Chippewa,2017,HRShare,.12
Chippewa,2017,PublicShare,.09
Chippewa,2018,Weekly Price,105.33
Chippewa,2018,TotCapacity,379.8
Chippewa,2018,AvgCapacity,11.87
Chippewa,2018,CCCShare,.03
Chippewa,2018,HRShare,.13
Chippewa,2018,PublicShare,.06
Chisago,2012,Weekly Price,131.89
Chisago,2012,TotCapacity,1439.6
Chisago,2012,AvgCapacity,13.33
Chisago,2012,CCCShare,.06
Chisago,2012,HRShare,0
Chisago,2012,PublicShare,0
Chisago,2013,Weekly Price,133.79
Chisago,2013,TotCapacity,1521.07
Chisago,2013,AvgCapacity,13.11
Chisago,2013,CCCShare,.06
Chisago,2013,HRShare,.02
Chisago,2013,PublicShare,0
Chisago,2014,Weekly Price,130.48
Chisago,2014,TotCapacity,1670.38
Chisago,2014,AvgCapacity,13.69
Chisago,2014,CCCShare,.06
Chisago,2014,HRShare,.07
Chisago,2014,PublicShare,.06
Chisago,2015,Weekly Price,131.06
Chisago,2015,TotCapacity,1519.56
Chisago,2015,AvgCapacity,13.45
Chisago,2015,CCCShare,.06
Chisago,2015,HRShare,.08
Chisago,2015,PublicShare,.06
Chisago,2016,Weekly Price,139.38
Chisago,2016,TotCapacity,1350.24
Chisago,2016,AvgCapacity,14.06
Chisago,2016,CCCShare,.07
Chisago,2016,HRShare,.09
Chisago,2016,PublicShare,.07
Chisago,2017,Weekly Price,129.42
Chisago,2017,TotCapacity,1613.66
Chisago,2017,AvgCapacity,16.64
Chisago,2017,CCCShare,.07
Chisago,2017,HRShare,.16
Chisago,2017,PublicShare,.09
Chisago,2018,Weekly Price,141.22
Chisago,2018,TotCapacity,1373.1
Chisago,2018,AvgCapacity,14.92
Chisago,2018,CCCShare,.09
Chisago,2018,HRShare,.15
Chisago,2018,PublicShare,.08
Clay,2012,Weekly Price,112.58
Clay,2012,TotCapacity,2583.75
Clay,2012,AvgCapacity,12.67
Clay,2012,CCCShare,.05
Clay,2012,HRShare,0
Clay,2012,PublicShare,.01
Clay,2013,Weekly Price,115.69
Clay,2013,TotCapacity,2718.95
Clay,2013,AvgCapacity,13.14
Clay,2013,CCCShare,.05
Clay,2013,HRShare,.02
Clay,2013,PublicShare,.01
Clay,2014,Weekly Price,116.72
Clay,2014,TotCapacity,2624.58
Clay,2014,AvgCapacity,13.12
Clay,2014,CCCShare,.05
Clay,2014,HRShare,.03
Clay,2014,PublicShare,.02
Clay,2015,Weekly Price,119.76
Clay,2015,TotCapacity,2486
Clay,2015,AvgCapacity,13.29
Clay,2015,CCCShare,.06
Clay,2015,HRShare,.04
Clay,2015,PublicShare,.02
Clay,2016,Weekly Price,123.62
Clay,2016,TotCapacity,2317.38
Clay,2016,AvgCapacity,13.09
Clay,2016,CCCShare,.06
Clay,2016,HRShare,.11
Clay,2016,PublicShare,.05
Clay,2017,Weekly Price,121.82
Clay,2017,TotCapacity,2399.16
