year,county,Price,Capacity,ShareCCC,ShareHighRated,ShareFCC,SharePublic
2013,Anoka County,150.6,15.4,.097,.036,.899,.004
2013,Isanti County,129.8,17.1,.137,.02,.863,0
2013,Chisago County,133.8,13.1,.06,.017,.94,0
2013,Washington County,160.8,16.4,.086,.048,.906,.008
2013,Scott County,162.6,13.2,.05,.015,.943,.006
2014,Steele County,106,13.2,.033,.053,.9270000000000001,.04
2014,Martin County,90,11.7,.014,.082,.904,.082
2014,Red Lake County,69.40000000000001,20.2,.043,.261,.739,.217
2014,Todd County,79.7,11.4,0,.148,.852,.148
2014,Pipestone County,92.2,11.2,.024,.098,.878,.098
2014,Swift County,89.59999999999999,11.8,.023,.116,.884,.093
2014,Mower County,104.3,13,.039,.068,.893,.068
2014,Beltrami County,106.8,14,.063,.091,.867,.07
2014,Stearns County,110.5,12.9,.057,.057,.907,.036
2014,Saint Louis County,110.8,17.1,.105,.124,.796,.099
2014,Wabasha County,114.4,11.1,.028,.056,.917,.056
2014,Waseca County,99.09999999999999,11.5,.034,.052,.914,.052
2014,Clay County,116.7,13.1,.055,.03,.925,.02
2014,Kandiyohi County,102.1,11.2,.031,.109,.915,.054
2014,Crow Wing County,114.7,14.3,.096,.071,.853,.051
2014,Morrison County,96.90000000000001,11.1,.031,.118,.898,.071
2014,Jackson County,90.09999999999999,12.7,.049,.098,.854,.098
2014,Rice County,123.1,12,.038,.051,.9290000000000001,.032
2014,Lyon County,101.4,12.8,.043,.051,.906,.051
2014,Lincoln County,89.8,10.8,0,.107,.893,.107
2014,Rock County,99,9.9,0,0,1,0
2014,Becker County,105.7,11.4,.024,.244,.886,.089
2014,Goodhue County,117.5,12.2,.048,.063,.889,.063
2014,Olmsted County,138.8,16.6,.062,.094,.902,.036
2014,Nicollet County,118.8,16.3,.108,.06,.88,.012
2014,Faribault County,89.59999999999999,13.3,.088,.147,.794,.118
2014,McLeod County,107.4,13,.04,.065,.903,.056
2014,Blue Earth County,117.6,17.3,.096,.064,.872,.032
2014,Le Sueur County,113.9,11.3,.01,.08,.92,.07
2014,Cass County,97.09999999999999,17.5,.028,.194,.8060000000000001,.167
2014,Fillmore County,92.09999999999999,19.7,.055,.127,.818,.127
2014,Nobles County,84.7,12.8,.061,.102,.837,.102
2014,Lake County,102.7,10,0,.111,.889,.111
2014,Freeborn County,103.6,12.7,.038,.051,.923,.038
2014,Brown County,97.8,12.9,.036,.091,.9,.064
2014,Yellow Medicine County,95.40000000000001,10.3,.043,.065,.913,.043
2014,Douglas County,103,12.4,.025,.057,.9300000000000001,.044
2014,Chippewa County,91.2,12.4,.024,.143,.905,.071
2014,Pope County,100.5,11.3,.028,.056,.917,.056
2014,Mille Lacs County,106.2,16,.069,.121,.845,.086
2014,Wadena County,90.09999999999999,10.7,.022,.178,.844,.133
2014,Traverse County,74.59999999999999,11.6,0,.25,.75,.25
2014,Polk County,100.2,13.3,.051,.111,.872,.077
2014,Benton County,113.9,11.4,.024,.018,.959,.018
2014,Wilkin County,91.7,9.9,0,.077,.923,.077
2014,Roseau County,89,10.1,.013,.093,.907,.08
2014,Sibley County,96.59999999999999,10.6,0,.136,.864,.136
2014,Houston County,101.9,10.5,.026,.052,.922,.052
2014,Pine County,106.7,11.2,.017,.2,.883,.1
2014,Winona County,108.9,12.8,.054,.054,.905,.041
2014,Otter Tail County,98.8,11,.018,.089,.899,.083
2014,Dodge County,119.1,11.7,.012,.047,.942,.047
2014,Kittson County,84.40000000000001,9.5,0,.167,.833,.167
2014,Kanabec County,98.5,23.2,.029,.088,.882,.088
2014,Meeker County,91.40000000000001,13.8,.039,.157,.824,.137
2014,Itasca County,95.2,15.8,.053,.277,.777,.17
2014,Aitkin County,107.4,14.8,.059,.147,.853,.088
2014,Pennington County,103.1,10.7,.029,.029,.942,.029
2014,Renville County,95.8,11.7,.037,.093,.87,.093
2014,Clearwater County,87.7,11.6,0,.269,.846,.154
2014,Carlton County,105.3,16.8,.092,.184,.789,.118
2014,Redwood County,96.59999999999999,9.800000000000001,0,.045,.955,.045
2014,Cottonwood County,92.59999999999999,11.3,.024,.098,.878,.098
2014,Marshall County,87.40000000000001,11.3,.029,.118,.853,.118
2014,Murray County,90.3,12.4,.038,.038,.923,.038
