year,MSA,ED_region,county,itp_avg_price,underSA_cap,pCCC,FCC,public,HR,pq12
2013,0,Southwest,Nobles County,84.347191,11.86151,.041666668,.89583331,.0625,.0625,.9375
2013,0,Westcentral,Pope County,100.36386,11.512381,.051282052,.8974359,.051282052,.051282052,.94871795
2013,0,Southeast,Dodge County,121.26558,11.344944,.011235955,.96629214,.02247191,.02247191,.9775281
2013,0,UpperMNvalley,Yellow Medicine County,93.308548,10.330525,.01923077,.92307693,.057692308,.07692308,.92307693
2013,0,Arrowhead,Aitkin County,112.07097,12.180789,.032258064,.93548387,.032258064,.064516127,.93548387
2013,0,Southeast,Houston County,104.23271,10.097806,.025316456,.92405063,.050632913,.050632913,.94936711
2013,0,Westcentral,Becker County,109.3286,10.888486,.016393442,.93442625,.049180329,.17213115,.82786888
2013,0,EastCentral,Kanabec County,104.92647,22.329573,.029411765,.94117647,.029411765,.029411765,.97058821
2013,0,Northwest,Norman County,88.416229,13.190909,.045454547,.86363637,.090909094,.13636364,.86363637
2013,0,Southwest,Redwood County,99.123405,10.165641,.015384615,.96923077,.015384615,.015384615,.98461539
2013,0,Headwaters,Lake of the Woods County,86.901047,10.158442,0,.90909094,.090909094,.090909094,.90909094
2013,0,EastCentral,Pine County,119.03616,10.128493,.016393442,.96721309,.016393442,.065573767,.93442625
2013,0,Headwaters,Hubbard County,105.15399,11.348008,.03846154,.94230771,.01923077,.07692308,.92307693
2013,0,Westcentral,Traverse County,90.040642,10.6625,0,.875,.125,.125,.875
2013,0,Southwestcentral,Kandiyohi County,105.18883,10.898894,.024390243,.9512195,.024390243,.040650405,.95934957
2013,0,NorthCentral,Wadena County,95.094299,10.575658,.025,.875,.1,.15000001,.85000002
2013,0,Northwest,Kittson County,83.022644,9.2933331,0,.85000002,.15000001,.15000001,.85000002
2013,0,Southwest,Jackson County,97.658508,11.623761,.050000001,.92500001,.025,.025,.97500002
2013,0,Northwest,Red Lake County,76.456833,18.5553,.041666668,.83333331,.125,.125,.875
2013,0,Westcentral,Wilkin County,96.823631,9.1537418,0,.96428573,.035714287,.035714287,.96428573
