year,ed_region,co_adj_supply_any,co_adj_supply_ccc,co_adj_supply_fcc,co_adj_supply_public,co_adj_supply_lr,co_adj_supply_hr,co_drive_time_any,co_drive_time_ccc,co_drive_time_fcc,co_drive_time_public,co_drive_time_lr,co_drive_time_hr,co_price_any,co_price_ccc,co_price_fcc,co_price_public,co_price_lr,co_price_hr,co_totcost_any,co_totcost_ccc,co_totcost_fcc,co_totcost_public,co_totcost_lr,co_quality_premium
2015,EastCentral,.47655207,.14033769,.25519502,.081019349,.34754917,.047983557,5.7119789,11.819533,6.0124164,8.584054,5.8793173,12.485672,122.63077,166.62279,126.67127,0,132.19402,169.04001,132.15074,186.32201,136.69197,14.306757,141.99289,1.355723
2015,Southeast,.60182709,.11004821,.42655259,.065226287,.51894391,.017656915,4.9071851,12.368554,5.0581555,8.3290367,4.8968987,22.824699,111.27348,157.81741,116.11256,0,121.44226,164.43251,119.45212,178.43167,124.54282,13.881728,129.60376,1.590839
2015,Southern,.68740863,.20889305,.4024649,.076050706,.49165076,.11970719,4.1468453,6.7687778,4.1134057,5.4092913,4.1137042,9.8632183,137.28339,194.41708,128.1367,0,139.14055,193.98244,144.19479,205.69838,134.99239,9.0154858,145.99672,1.4574355
2014,Northwest,.7742604,.11100771,.52116483,.14208789,.58344442,.048728097,6.4815836,21.419762,6.6797366,10.716988,6.6396799,31.685711,89.504898,128.96764,102.47992,0,105.37183,113.74477,100.30753,164.66724,113.61281,17.861647,116.43797,1.4657147
2014,Westcentral,.68706667,.097067021,.48763537,.10236428,.55427849,.030423921,5.6418447,15.510441,5.7382803,9.2226458,6.0235238,24.079531,100.95488,147.91367,110.35249,0,115.19083,124.91971,110.35795,173.7644,119.9163,15.371076,125.23003,1.3440032
2014,UpperMNvalley,.7283802,.065264896,.5496434,.11347192,.56718189,.047726344,6.8396449,22.767052,6.8968601,10.774642,6.9650698,27.218391,82.121307,101.15063,99.983833,0,101.32494,78.338326,93.520714,139.09572,111.4786,17.957737,112.93339,1.1115582
2014,Southwest,.69942307,.078619309,.52973014,.09107364,.60834944,5.9286533e-38,4.7199774,22.521696,4.7998629,10.055993,4.7963381,71.305962,88.287613,112.01671,99.975739,0,101.21285,78.965363,96.154243,149.55287,107.97551,16.759989,109.20675,1.8417994
2014,Headwaters,.56231868,.088109203,.35963768,.11457178,.39311394,.054632928,6.9423089,21.895214,8.0340891,12.783355,8.7819843,21.116972,85.595566,149.06717,105.044,0,109.35078,145.60994,97.166077,185.5592,118.43414,21.305592,123.98742,1.4906088
2014,Southwestcentral,.62290496,.11060119,.4316366,.080667153,.4956505,.046587314,4.5130029,11.37737,4.6886358,6.3502245,4.6470566,17.885799,102.91671,159.13232,107.83225,0,112.62567,152.44992,110.43839,178.09462,115.64664,10.583707,120.37077,1.5335079
2014,NorthCentral,.60425305,.13313255,.37230352,.098816976,.4388088,.066627264,6.3874192,17.775183,6.9162054,10.384538,6.8009324,20.894693,96.277809,140.83357,109.37569,0,112.48,135.46089,106.92351,170.45888,120.9027,17.307564,123.8149,1.398555
2014,Central,.59328306,.14295097,.40797463,.042357467,.51762414,.033301476,4.1908069,6.7714729,4.2173929,6.9697204,4.191638,13.145534,133.84438,194.70898,126.59466,0,138.05409,213.07478,140.82906,205.99477,133.62364,11.6162,145.04015,1.6246586
2014,Southcentral,.78143024,.17745018,.49573779,.10824229,.63418746,.039000515,4.1183372,10.108546,4.1950774,6.5827217,4.1345992,15.283412,104.34112,146.98868,110.18094,0,116.84205,148.59084,111.20501,163.83626,117.17274,10.971203,123.73305,1.4281971
2014,Arrowhead,.60765642,.16190882,.28683117,.15891641,.3929736,.055766381,5.4081731,16.51482,5.8803759,6.8561802,5.6487265,22.104429,97.147636,141.07634,117.50175,0,121.62313,138.32869,106.16125,168.60103,127.30238,11.426967,131.03767,1.3656287
2014,Metro,.53177434,.30802298,.19823626,.025515107,.37690964,.1293496,4.2358437,4.6010313,4.2288542,5.4137506,4.2418566,5.2932982,202.65517,250.40031,162.44246,0,196.19313,264.88751,209.7149,258.0687,169.49055,9.0229177,203.26289,1.3640947
2014,EastCentral,.5050503,.14391074,.2801308,.081008732,.37783203,.04620951,5.614841,11.820908,5.9389582,8.5687065,5.7855587,12.535433,120.46045,157.94833,125.39585,0,130.07849,160.0578,129.81851,177.64984,135.29411,14.281178,139.7211,1.3136138
2014,Southeast,.67877197,.11792416,.45381305,.10703477,.55979335,.01194383,4.9516969,11.731815,5.1028838,7.8266659,4.9623132,27.146523,107.79884,154.38525,113.93652,0,118.9943,178.98555,116.05166,173.93828,122.44132,13.044443,127.26482,1.7961414
2014,Southern,.70364988,.20687594,.41971177,.077062175,.52134776,.10523996,4.1335831,6.7291837,4.1173825,5.2867723,4.1075144,10.978628,133.23892,189.15195,126.0775,0,138.19966,194.6971,140.12822,200.36725,132.9398,8.8112869,145.04552,1.4966069
2013,Northwest,.7384088,.078535303,.53213769,.12773584,.58362073,.027052239,6.1899838,39.17765,6.1741538,12.852826,6.1802135,72.726585,91.495567,117.56461,103.22533,0,105.28373,109.0412,101.81221,182.8607,113.51559,21.421375,115.58408,2.0724068
2013,Westcentral,.67723083,.093180805,.50552303,.078526981,.58077151,.017932361,5.6071954,16.271856,5.6506715,10.90258,5.7899733,32.96685,103.62122,145.6796,110.21172,0,115.40638,113.01038,112.96654,172.79936,119.6295,18.170967,125.05634,1.3754435
2013,UpperMNvalley,.69711548,.057674062,.55811661,.081324808,.57789987,.037890803,7.1877909,27.218782,7.0197363,11.287745,7.1356597,31.520554,81.283424,69.880157,98.500618,0,97.440292,62.904957,93.263077,115.2448,110.20018,18.812908,109.33305,1.0717384
2013,Southwest,.64968145,.077730887,.53802973,.033920866,.61576062,0,4.6863146,24.755611,4.6861448,18.52585,4.6949635,94.918694,95.047081,103.71194,99.629326,0,101.29533,96.491318,102.8576,144.9713,107.43957,30.876417,109.12027,2.3944583
2013,Headwaters,.53687614,.05498679,.32902527,.15286408,.3680748,.015937274,8.3187666,24.779371,9.6745882,15.53623,9.7122068,63.129284,84.692444,130.42575,104.2002,0,107.31187,116.47534,98.557053,171.7247,120.32451,25.893717,123.49888,1.8272324
2013,Southwestcentral,.77296019,.085317299,.43971393,.24792898,.51378399,.011247256,4.6024566,13.610459,4.6745257,9.260808,4.6384206,22.051758,102.94745,152.93881,108.03603,0,113.02741,129.86227,110.61821,175.62291,115.82691,15.43468,120.75811,1.4021759
2013,NorthCentral,.51613969,.068532407,.3648383,.082768939,.42943344,.0039372765,6.6953044,18.051956,6.9902701,13.794416,6.9111786,31.815075,98.18927,126.96799,109.66698,0,111.34093,119.62538,109.34811,157.0546,121.31742,22.990694,122.85956,1.4187324
