cty_gisjoin,county,co_adj_supply_any,co_adj_supply_ccc,co_adj_supply_fcc,co_adj_supply_public,co_adj_supply_lr,co_adj_supply_hr,co_drive_time_any,co_drive_time_ccc,co_drive_time_fcc,co_drive_time_public,co_drive_time_lr,co_drive_time_hr,co_price_any,co_price_ccc,co_price_fcc,co_price_public,co_price_lr,co_price_hr,co_totcost_any,co_totcost_ccc,co_totcost_fcc,co_totcost_public,co_totcost_lr,co_quality_premium
G2701050,Nobles County,.37191817,.047137722,.24736522,.07741522,.28855014,.005952816,4.8088832,10.310623,4.9576888,7.4125762,5.3619585,20.034027,80.16716,109.97962,97.606628,0,101.31119,86,88.181969,127.16399,105.86944,12.354294,110.24778,1.0992254
G2700870,Mahnomen County,.46120474,0,.25462857,.20657618,.13494471,.11968385,7.439703,56.881996,7.7519765,7.5616393,8.0272236,19.558104,46.141529,159.97826,102.23116,0,100.13575,113.17467,58.541035,254.78159,115.15112,12.602732,113.51446,1.2946279
G2700230,Chippewa County,.65006435,.10715707,.48896161,.05394569,.53849435,.05762431,6.7053628,11.150655,6.6387305,9.5252657,6.6243334,11.058598,92.058411,97.193039,99.607117,0,100.71256,89.584892,103.23401,115.77747,110.67167,15.875443,111.75311,.96449137
G2700410,Grant County,.53218502,0,.33773378,.19445123,.31288397,.02484978,5.6352191,34.684959,5.609026,10.947523,5.7072082,19.23526,81.733627,133.14667,106.25299,0,106.67908,106.37526,91.125656,190.95493,115.60137,18.245872,116.19109,1.2144012
G2701210,Pope County,.49689317,.083548948,.37773916,.035605043,.46128759,5.3174580e-07,6.6357203,15.382918,6.4431043,15.68113,6.5262351,30.259443,98.147186,141.62578,102.99141,0,106.87061,119.89075,109.20672,167.26396,113.72992,26.135218,117.74767,1.4756001
G2701270,Redwood County,.63360715,.0030641546,.5511632,.079379797,.55422735,5.6063337e-37,5.6679864,33.213764,5.6721473,12.854815,5.6722474,40.521843,90.184105,102.98859,98.832336,0,98.772415,78.445862,99.630753,158.34486,108.28591,21.424692,108.22617,1.3662632
G2700290,Clearwater County,.56475788,0,.40695736,.15780053,.35708737,.049869973,6.8902383,42.970085,6.7951965,10.734221,9.7824707,31.786831,80.719215,127.61833,102.12409,0,103.94324,96.935921,92.20295,199.23514,113.44942,17.890369,120.24735,1.2878525
G2700070,Beltrami County,.55329394,.068428077,.33995843,.14490744,.40508807,.0032984321,6.7791662,18.796247,9.2038345,9.9535427,9.0163031,26.931606,82.089081,146.89226,108.74005,0,113.09195,113.67664,93.387688,178.21933,124.07977,16.589237,128.11913,1.2729149
G2701290,Renville County,.79882616,.14825554,.55366766,.096902989,.70192295,2.2216878e-07,4.370389,17.823196,4.5143981,7.937736,4.5350623,33.382427,91.621323,131.30499,108.42251,0,110.70712,127.65585,98.905304,161.01033,115.94651,13.22956,118.26556,1.5968369
G2700330,Cottonwood County,.56463033,.045248568,.42737433,.092007428,.4726229,0,4.4893661,20.777485,4.3742371,6.9532671,4.4266768,37.248676,85.302689,79.505577,103.57433,0,99.707069,71.21788,92.784966,114.13471,110.86472,11.588778,107.08487,1.2478197
G2700630,Jackson County,.75057089,.17318882,.44415373,.13322835,.61734253,0,6.2119193,12.016156,6.223052,9.292799,6.3094349,44.975155,85.538101,107.54027,97.820091,0,102.97786,86.351143,95.891304,127.56719,108.19184,15.487998,113.49358,1.4447695
G2700770,Roseau County,.66821063,0,.57543594,.092774682,.57543594,0,7.0696826,112.4572,7.0564456,10.047754,7.0638266,70.600761,82.251129,131.23256,95.18911,0,95.196892,87.158142,94.033936,318.66122,106.94985,16.746258,106.96993,1.9307359
G2700670,Kandiyohi County,.49041718,.088162214,.34794793,.054307021,.35595623,.080153935,4.3769326,9.9139585,4.440475,5.4696393,4.4718542,9.3742867,102.37109,156.31911,104.8745,0,107.67011,143.38811,109.66598,172.84236,112.2753,9.116065,115.1232,1.3945279
G2701530,Todd County,.42901075,.044830728,.24457502,.139605,.27413967,.015266078,6.2723718,26.289133,6.5690632,8.3872938,6.6729002,18.492355,75.625618,111.52065,100.07803,0,101.59416,92.761024,86.079575,155.33586,111.02647,13.978824,112.71566,1.1097546
G2700570,Hubbard County,.49244848,.066812284,.38832667,.037309516,.35461989,.10051905,6.2748728,16.809044,6.1675034,16.755129,6.2971888,13.982633,105.82985,147.23276,109.97041,0,110.54437,132.28712,116.28797,175.24783,120.24958,27.925215,121.03969,1.289387
G2701590,Wadena County,.56757516,.037940886,.38821697,.14141729,.40237841,.023779448,6.2930622,15.087815,6.429575,6.247489,6.5347314,13.977137,81.729713,115.32719,105.55832,0,104.66093,112.71168,92.218155,140.47354,116.27428,10.412481,115.55215,1.1760075
G2701450,Stearns County,.66010952,.14691903,.45822713,.054963354,.53119212,.073954046,4.1314631,7.1394472,4.1786151,6.6351995,4.1310606,11.856238,119.69104,176.74748,112.69141,0,122.24434,155.57596,126.57681,188.64656,119.65577,11.058666,129.12944,1.3621963
G2700150,Redwood County,.63360715,.0030641546,.5511632,.079379797,.55422735,5.6063337e-37,5.6679864,33.213764,5.6721473,12.854815,5.6722474,40.521843,90.184105,102.98859,98.832336,0,98.772415,78.445862,99.630753,158.34486,108.28591,21.424692,108.22617,1.3662632
G2701650,Watonwan County,.469791,.16082586,.23777063,.071194507,.3277083,.070888184,2.7951028,3.8271568,3.1318099,3.786154,2.8867729,9.3823643,73.291565,81.417458,90.208244,0,89.900963,71.341843,77.950073,87.796051,95.427925,6.3102565,94.71225,.91835856
G2700910,Martin County,.88121843,.099824384,.66739082,.11400323,.76721519,1.1021203e-14,4.9085269,12.46119,4.8923354,7.2159672,4.9399872,28.907303,92.08577,138.23225,98.370453,0,103.2743,101.65154,100.26665,159.00092,106.52435,12.026612,111.50761,1.351969
G2700930,Meeker County,.52959114,.097949818,.31860197,.11303939,.41365486,.0028969101,5.5054998,13.353834,5.9951844,8.1207838,5.8537025,23.003765,98.961143,164.45171,106.8592,0,117.00475,99.47934,108.13698,186.7081,116.85117,13.534639,126.76092,1.0947137
